Harry Potter and the Sorcerer's Stone (Extended Version),Average Rating: 8.0/10,2017,Action & Adventure,"[""Ansel Elgort"", ""Kevin Spacey"", ""Lily James"", ""Jon Bernthal"", ""Jon Hamm"", ""Jamie Foxx"", ""Eiza González"", ""Flea"", ""Sky Ferreira"", ""Lanny Joon""]","[""Nira Park"", ""Tim Bevan"", ""Eric Fellner""]","[""Edgar Wright""]"
Harry Potter and the Chamber of Secrets (Extended Version),Average Rating: 7.1/10,2001,Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""John Cleese"", ""Robbie Coltrane"", ""Warwick Davis"", ""Richard Griffiths"", ""Richard Harris"", ""Ian Hart"", ""John Hurt"", ""Alan Rickman"", ""Fiona Shaw"", """", """"]","[""David Heyman""]","[""Chris Columbus""]"
The Mummy (2017),Average Rating: 7.2/10,2002,Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Kenneth Branagh"", ""John Cleese"", ""Robbie Coltrane"", ""Warwick Davis"", ""Richard Griffiths"", ""Richard Harris"", ""Jason Isaacs"", ""Alan Rickman"", ""Fiona Shaw"", """", """"]","[""David Heyman""]","[""Chris Columbus""]"
Wonder Woman (2017),Average Rating: 4.2/10,2017,Action & Adventure,"[""Tom Cruise"", ""Annabelle Wallis"", ""Sofia Boutella"", ""Jake Johnson"", ""Courtney B. Vance"", ""Marwan Kenzari"", ""Russell Crowe""]","[""Alex Kurtzman"", ""Chris Morgan"", ""Sean Daniel"", ""Sarah Bradshaw""]","[""Alex Kurtzman""]"
Transformers: The Last Knight (Digital),Average Rating: 7.6/10,2017,Action & Adventure,"[""Gal Gadot"", ""Chris Pine"", ""Robin Wright"", ""Connie Nielsen"", ""Lucy Davis"", ""David Thewlis""]","[""Charles Roven"", ""Zack Snyder"", ""Deborah Snyder"", ""Richard Suckle""]","[""Patty Jenkins""]"
Guardians of the Galaxy Vol. 2,Average Rating: 3.3/10,2017,Action & Adventure,"[""Mark Wahlberg"", ""Josh Duhamel"", ""Stanley Tucci"", ""Anthony Hopkins"", ""Laura Haddock"", ""Jerrod Carmichael"", ""Isabela Moner""]","[""Don Murphy"", ""Tom DeSanto"", ""Lorenzo di Bonaventura"", ""Ian Bryce""]","[""Michael Bay""]"
Baywatch,Average Rating: 7.1/10,2017,Action & Adventure,"[""Chris Pratt"", ""Zoe Saldana"", ""Dave Bautista"", ""Vin Diesel"", ""Bradley Cooper"", ""Michael Rooker"", ""Karen Gillan"", ""Pom Klementieff"", ""Sylvester Stallone"", ""Kurt Russell"", ""Elizabeth Debicki"", ""Chris Sullivan"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","[""Kevin Feige""]","[""James Gunn""]"
The Hunger Games,Average Rating: 4.0/10,2017,Comedy,"[""Dwayne Johnson"", ""Zac Efron"", ""Alexandra Daddario"", ""David Hasselhoff""]","[""Michael Berk"", ""Douglas Schwartz"", ""Gregory J. Bonann"", ""Beau Flynn"", ""Ivan Reitman"", ""Michele Berk"", ""Louise Rosner-Meyer"", ""Tom Pollock"", ""Ali Bell"", ""Dwayne Johnson"", ""Dany Garcia"", """", """", """"]","[""Seth Gordon""]"
John Wick,Average Rating: 7.2/10,2012,Action & Adventure,"[""Jennifer Lawrence"", ""Josh Hutcherson"", ""Liam Hemsworth"", ""Woody Harrelson"", ""Elizabeth Banks"", ""Lenny Kravitz"", ""Stanley Tucci"", ""Donald Sutherland""]","[""Nina Jacobson"", ""Jon Kilik""]","[""Gary Ross""]"
Guardians of the Galaxy,Average Rating: 6.9/10,2014,Action & Adventure,"[""Keanu Reeves"", ""Willem Dafoe"", ""Adrianne Palicki"", ""Michael Nyqvist"", ""Bridget Moynahan"", ""Alfie Allen"", ""Lance Reddick"", ""Dean Winters"", ""John Leguizamo""]","[""David Leitch"", ""Basil Iwanyk""]","[""Chad Stahelski""]"
